Request_id,Pickup_point,Driver_id,Status,Request_timestamp,Time_slot,Drop_timestamp,Hour_of_day,weekday
3096,Airport,3,Trip Completed,13-07-2016 08:17,Day,13-07-2016 09:22,8,Wednesday
3881,Airport,3,Trip Completed,13-07-2016 21:54,Night,13-07-2016 22:51,21,Wednesday
5254,City,3,Trip Completed,14-07-2016 21:23,Night,14-07-2016 22:25,21,Thursday
5434,City,3,Trip Completed,15-07-2016 02:41,Early Morning,15-07-2016 03:24,2,Friday
5916,City,3,Trip Completed,15-07-2016 10:00,Day,15-07-2016 10:53,10,Friday
669,City,4,Trip Completed,11-07-2016 13:08,Evening,11-07-2016 13:49,13,Monday
1567,Airport,4,Trip Completed,12-07-2016 06:21,Morning,12-07-2016 07:10,6,Tuesday
1826,City,4,Trip Completed,12-07-2016 09:27,Day,12-07-2016 10:27,9,Tuesday
2102,City,4,Trip Completed,12-07-2016 16:09,Evening,12-07-2016 17:01,16,Tuesday
2847,Airport,4,Trip Completed,13-07-2016 05:34,Morning,13-07-2016 06:09,5,Wednesday
3722,Airport,4,Trip Completed,13-07-2016 19:57,Night,13-07-2016 20:32,19,Wednesday
4075,City,4,Trip Completed,14-07-2016 02:17,Early Morning,14-07-2016 03:21,2,Thursday
4686,City,4,Trip Completed,14-07-2016 13:01,Evening,14-07-2016 13:45,13,Thursday
5771,Airport,4,Trip Completed,15-07-2016 08:30,Day,15-07-2016 09:37,8,Friday
6106,Airport,4,Trip Completed,15-07-2016 15:01,Evening,15-07-2016 15:47,15,Friday
312,City,5,Trip Completed,11-07-2016 07:27,Morning,11-07-2016 08:31,7,Monday
577,Airport,5,Trip Completed,11-07-2016 11:03,Day,11-07-2016 12:01,11,Monday
1179,City,5,Trip Completed,11-07-2016 20:58,Night,11-07-2016 21:45,20,Monday
1756,Airport,5,Trip Completed,12-07-2016 08:40,Day,12-07-2016 09:23,8,Tuesday
2052,City,5,Trip Completed,12-07-2016 14:48,Evening,12-07-2016 15:50,14,Tuesday
2559,City,5,Trip Completed,12-07-2016 21:32,Night,12-07-2016 22:29,21,Tuesday
3014,City,5,Trip Completed,13-07-2016 07:28,Morning,13-07-2016 08:29,7,Wednesday
3317,City,5,Trip Completed,13-07-2016 12:14,Evening,13-07-2016 12:46,12,Wednesday
4297,City,5,Trip Completed,14-07-2016 06:43,Morning,14-07-2016 07:49,6,Thursday
5857,Airport,5,Trip Completed,15-07-2016 09:08,Day,15-07-2016 10:07,9,Friday
6690,Airport,5,Trip Completed,15-07-2016 22:41,Night,15-07-2016 23:51,22,Friday
1517,Airport,6,Trip Completed,12-07-2016 05:45,Morning,12-07-2016 06:28,5,Tuesday
1999,Airport,6,Trip Completed,12-07-2016 13:02,Evening,12-07-2016 13:51,13,Tuesday
2960,Airport,6,Trip Completed,13-07-2016 06:50,Morning,13-07-2016 07:40,6,Wednesday
3882,City,6,Trip Completed,13-07-2016 21:53,Night,13-07-2016 22:45,21,Wednesday
4081,Airport,6,Trip Completed,14-07-2016 02:37,Early Morning,14-07-2016 03:30,2,Thursday
4740,City,6,Trip Completed,14-07-2016 14:50,Evening,14-07-2016 15:38,14,Thursday
5270,City,6,Trip Completed,14-07-2016 21:33,Night,14-07-2016 22:25,21,Thursday
6758,Airport,6,Trip Completed,15-07-2016 00:03,Early Morning,15-07-2016 01:07,0,Friday
5741,City,6,Trip Completed,15-07-2016 07:52,Morning,15-07-2016 08:38,7,Friday
6087,Airport,6,Trip Completed,15-07-2016 14:28,Evening,15-07-2016 15:33,14,Friday
1039,City,7,Trip Completed,11-07-2016 19:31,Night,11-07-2016 20:41,19,Monday
1273,Airport,7,Trip Completed,11-07-2016 22:07,Night,11-07-2016 23:12,22,Monday
2480,City,7,Trip Completed,12-07-2016 20:39,Night,12-07-2016 21:28,20,Tuesday
4105,City,7,Trip Completed,14-07-2016 03:39,Early Morning,14-07-2016 04:39,3,Thursday
4509,City,7,Trip Completed,14-07-2016 09:11,Day,14-07-2016 10:17,9,Thursday
4986,Airport,7,Trip Completed,14-07-2016 18:52,Night,14-07-2016 19:50,18,Thursday
5898,City,7,Trip Completed,15-07-2016 09:50,Day,15-07-2016 10:40,9,Friday
6142,Airport,7,Trip Completed,15-07-2016 15:50,Evening,15-07-2016 16:36,15,Friday
380,Airport,8,Trip Completed,11-07-2016 08:18,Day,11-07-2016 09:18,8,Monday
1050,Airport,8,Trip Completed,11-07-2016 19:39,Night,11-07-2016 20:30,19,Monday
1769,City,8,Trip Completed,12-07-2016 08:57,Day,12-07-2016 09:24,8,Tuesday
2520,City,8,Trip Completed,12-07-2016 21:05,Night,12-07-2016 22:20,21,Tuesday
3265,Airport,8,Trip Completed,13-07-2016 10:22,Day,13-07-2016 11:07,10,Wednesday
4648,City,8,Trip Completed,14-07-2016 11:55,Day,14-07-2016 12:59,11,Thursday
449,Airport,9,Trip Completed,11-07-2016 09:08,Day,11-07-2016 09:52,9,Monday
846,Airport,9,Trip Completed,11-07-2016 17:46,Night,11-07-2016 18:52,17,Monday
1346,Airport,9,Trip Completed,11-07-2016 23:39,Night,12-07-2016 00:23,23,Monday
1474,Airport,9,Trip Completed,12-07-2016 05:13,Morning,12-07-2016 05:56,5,Tuesday
2240,City,9,Trip Completed,12-07-2016 18:20,Night,12-07-2016 18:54,18,Tuesday
3072,Airport,9,Trip Completed,13-07-2016 08:04,Day,13-07-2016 08:36,8,Wednesday
3459,Airport,9,Trip Completed,13-07-2016 17:03,Night,13-07-2016 17:31,17,Wednesday
3774,Airport,9,Trip Completed,13-07-2016 20:41,Night,13-07-2016 21:27,20,Wednesday
4023,City,9,Trip Completed,13-07-2016 23:58,Night,14-07-2016 00:58,23,Wednesday
4117,City,9,Trip Completed,14-07-2016 04:21,Morning,14-07-2016 05:07,4,Thursday
4880,Airport,9,Trip Completed,14-07-2016 17:58,Night,14-07-2016 19:02,17,Thursday
5568,Airport,9,Trip Completed,15-07-2016 05:47,Morning,15-07-2016 06:25,5,Friday
5994,Airport,9,Trip Completed,15-07-2016 11:51,Day,15-07-2016 12:32,11,Friday
1809,Airport,10,Trip Completed,12-07-2016 09:13,Day,12-07-2016 10:01,9,Tuesday
2064,Airport,10,Trip Completed,12-07-2016 15:08,Evening,12-07-2016 16:14,15,Tuesday
3210,City,10,Trip Completed,13-07-2016 09:47,Day,13-07-2016 10:52,9,Wednesday
4350,City,10,Trip Completed,14-07-2016 07:24,Morning,14-07-2016 08:22,7,Thursday
4713,City,10,Trip Completed,14-07-2016 13:31,Evening,14-07-2016 14:10,13,Thursday
5629,Airport,10,Trip Completed,15-07-2016 06:33,Morning,15-07-2016 07:19,6,Friday
6157,Airport,10,Trip Completed,15-07-2016 16:32,Evening,15-07-2016 17:44,16,Friday
2030,City,11,Trip Completed,12-07-2016 14:11,Evening,12-07-2016 15:02,14,Tuesday
3226,City,11,Trip Completed,13-07-2016 10:00,Day,13-07-2016 11:02,10,Wednesday
3353,City,11,Trip Completed,13-07-2016 13:29,Evening,13-07-2016 14:09,13,Wednesday
4293,City,11,Trip Completed,14-07-2016 06:42,Morning,14-07-2016 07:12,6,Thursday
4936,City,11,Trip Completed,14-07-2016 18:22,Night,14-07-2016 19:14,18,Thursday
5661,Airport,11,Trip Completed,15-07-2016 07:08,Morning,15-07-2016 07:59,7,Friday
5778,City,11,Trip Completed,15-07-2016 08:22,Day,15-07-2016 09:13,8,Friday
6425,Airport,11,Trip Completed,15-07-2016 19:46,Night,15-07-2016 20:26,19,Friday
45,Airport,12,Trip Completed,11-07-2016 03:17,Early Morning,11-07-2016 04:09,3,Monday
264,City,12,Trip Completed,11-07-2016 06:51,Morning,11-07-2016 07:40,6,Monday
1183,City,12,Trip Completed,11-07-2016 21:05,Night,11-07-2016 21:38,21,Monday
1536,Airport,12,Trip Completed,12-07-2016 05:59,Morning,12-07-2016 06:59,5,Tuesday
2437,City,12,Trip Completed,12-07-2016 20:18,Night,12-07-2016 21:26,20,Tuesday
2641,Airport,12,Trip Completed,12-07-2016 22:28,Night,12-07-2016 23:05,22,Tuesday
4077,Airport,12,Trip Completed,14-07-2016 02:14,Early Morning,14-07-2016 03:13,2,Thursday
4610,City,12,Trip Completed,14-07-2016 10:35,Day,14-07-2016 11:39,10,Thursday
5066,Airport,12,Trip Completed,14-07-2016 19:31,Night,14-07-2016 20:14,19,Thursday
5666,Airport,12,Trip Completed,15-07-2016 07:04,Morning,15-07-2016 08:12,7,Friday
5923,City,12,Trip Completed,15-07-2016 10:07,Day,15-07-2016 10:50,10,Friday
6367,City,12,Trip Completed,15-07-2016 19:04,Night,15-07-2016 19:46,19,Friday
155,City,13,Trip Completed,11-07-2016 05:32,Morning,11-07-2016 06:28,5,Monday
310,Airport,13,Trip Completed,11-07-2016 07:24,Morning,11-07-2016 08:28,7,Monday
607,City,13,Trip Completed,11-07-2016 11:51,Day,11-07-2016 12:42,11,Monday
1012,City,13,Trip Completed,11-07-2016 19:15,Night,11-07-2016 19:57,19,Monday
1696,Airport,13,Trip Completed,12-07-2016 08:01,Day,12-07-2016 08:42,8,Tuesday
3076,City,13,Trip Completed,13-07-2016 08:09,Day,13-07-2016 09:12,8,Wednesday
4198,Airport,13,Trip Completed,14-07-2016 05:32,Morning,14-07-2016 06:45,5,Thursday
4627,City,13,Trip Completed,14-07-2016 11:13,Day,14-07-2016 12:00,11,Thursday
5289,City,13,Trip Completed,14-07-2016 21:43,Night,14-07-2016 22:24,21,Thursday
5495,Airport,13,Trip Completed,15-07-2016 05:00,Morning,15-07-2016 06:02,5,Friday
6656,Airport,13,Trip Completed,15-07-2016 22:08,Night,15-07-2016 22:41,22,Friday
139,Airport,14,Trip Completed,11-07-2016 05:21,Morning,11-07-2016 06:09,5,Monday
215,City,14,Trip Completed,11-07-2016 06:15,Morning,11-07-2016 07:07,6,Monday
1816,City,14,Trip Completed,12-07-2016 09:24,Day,12-07-2016 10:07,9,Tuesday
2505,Airport,14,Trip Completed,12-07-2016 21:03,Night,12-07-2016 22:14,21,Tuesday
3346,City,14,Trip Completed,13-07-2016 13:01,Evening,13-07-2016 13:55,13,Wednesday
5294,City,14,Trip Completed,14-07-2016 21:45,Night,14-07-2016 22:16,21,Thursday
6226,Airport,14,Trip Completed,15-07-2016 17:34,Night,15-07-2016 18:33,17,Friday
6733,Airport,14,Trip Completed,15-07-2016 23:32,Night,16-07-2016 00:37,23,Friday
1027,Airport,15,Trip Completed,11-07-2016 19:18,Night,11-07-2016 20:24,19,Monday
2675,Airport,15,Trip Completed,12-07-2016 23:43,Night,13-07-2016 00:35,23,Tuesday
3200,City,15,Trip Completed,13-07-2016 09:39,Day,13-07-2016 10:30,9,Wednesday
3865,City,15,Trip Completed,13-07-2016 21:52,Night,13-07-2016 22:21,21,Wednesday
4468,City,15,Trip Completed,14-07-2016 08:42,Day,14-07-2016 09:22,8,Thursday
5163,Airport,15,Trip Completed,14-07-2016 20:34,Night,14-07-2016 21:05,20,Thursday
6009,City,15,Trip Completed,15-07-2016 12:22,Evening,15-07-2016 13:25,12,Friday
6448,Airport,15,Trip Completed,15-07-2016 20:02,Night,15-07-2016 20:40,20,Friday
591,City,16,Trip Completed,11-07-2016 11:25,Day,11-07-2016 12:31,11,Monday
709,City,16,Trip Completed,11-07-2016 14:16,Evening,11-07-2016 15:03,14,Monday
1167,Airport,16,Trip Completed,11-07-2016 20:50,Night,11-07-2016 21:52,20,Monday
2661,Airport,16,Trip Completed,12-07-2016 23:23,Night,13-07-2016 00:27,23,Tuesday
2808,City,16,Trip Completed,13-07-2016 05:05,Morning,13-07-2016 05:56,5,Wednesday
3258,Airport,16,Trip Completed,13-07-2016 10:12,Day,13-07-2016 10:45,10,Wednesday
3413,Airport,16,Trip Completed,13-07-2016 15:32,Evening,13-07-2016 16:45,15,Wednesday
3939,Airport,16,Trip Completed,13-07-2016 22:26,Night,13-07-2016 22:55,22,Wednesday
4125,City,16,Trip Completed,14-07-2016 04:37,Morning,14-07-2016 05:46,4,Thursday
4457,City,16,Trip Completed,14-07-2016 08:36,Day,14-07-2016 09:19,8,Thursday
4728,City,16,Trip Completed,14-07-2016 14:04,Evening,14-07-2016 15:06,14,Thursday
5347,Airport,16,Trip Completed,14-07-2016 22:51,Night,14-07-2016 23:53,22,Thursday
6147,City,16,Trip Completed,15-07-2016 16:11,Evening,15-07-2016 17:30,16,Friday
6496,Airport,16,Trip Completed,15-07-2016 20:33,Night,15-07-2016 21:32,20,Friday
634,City,17,Trip Completed,11-07-2016 12:25,Evening,11-07-2016 13:06,12,Monday
939,Airport,17,Trip Completed,11-07-2016 18:25,Night,11-07-2016 19:26,18,Monday
2628,Airport,17,Trip Completed,12-07-2016 22:10,Night,12-07-2016 23:25,22,Tuesday
3021,City,17,Trip Completed,13-07-2016 07:33,Morning,13-07-2016 08:26,7,Wednesday
4743,City,17,Trip Completed,14-07-2016 14:54,Evening,14-07-2016 15:39,14,Thursday
4981,City,17,Trip Completed,14-07-2016 18:47,Night,14-07-2016 19:43,18,Thursday
5367,Airport,17,Trip Completed,14-07-2016 23:35,Night,15-07-2016 00:25,23,Thursday
5471,Airport,17,Trip Completed,15-07-2016 04:48,Morning,15-07-2016 05:47,4,Friday
5988,Airport,17,Trip Completed,15-07-2016 11:48,Day,15-07-2016 12:55,11,Friday
6477,Airport,17,Trip Completed,15-07-2016 20:21,Night,15-07-2016 21:00,20,Friday
499,City,18,Trip Completed,11-07-2016 09:39,Day,11-07-2016 10:16,9,Monday
1147,Airport,18,Trip Completed,11-07-2016 20:42,Night,11-07-2016 21:18,20,Monday
1410,Airport,18,Trip Completed,12-07-2016 03:14,Early Morning,12-07-2016 04:27,3,Tuesday
1804,Airport,18,Trip Completed,12-07-2016 09:12,Day,12-07-2016 09:57,9,Tuesday
1949,Airport,18,Trip Completed,12-07-2016 11:32,Day,12-07-2016 12:13,11,Tuesday
2713,City,18,Trip Completed,13-07-2016 01:46,Early Morning,13-07-2016 02:37,1,Wednesday
2845,City,18,Trip Completed,13-07-2016 05:28,Morning,13-07-2016 06:10,5,Wednesday
3943,Airport,18,Trip Completed,13-07-2016 22:35,Night,13-07-2016 23:33,22,Wednesday
4792,City,18,Trip Completed,14-07-2016 16:47,Evening,14-07-2016 17:34,16,Thursday
5207,Airport,18,Trip Completed,14-07-2016 20:57,Night,14-07-2016 21:56,20,Thursday
5890,City,18,Trip Completed,15-07-2016 09:43,Day,15-07-2016 10:55,9,Friday
494,City,19,Trip Completed,11-07-2016 09:36,Day,11-07-2016 10:02,9,Monday
1485,City,19,Trip Completed,12-07-2016 05:21,Morning,12-07-2016 06:35,5,Tuesday
2042,City,19,Trip Completed,12-07-2016 14:30,Evening,12-07-2016 15:09,14,Tuesday
2561,Airport,19,Trip Completed,12-07-2016 21:29,Night,12-07-2016 22:44,21,Tuesday
3813,Airport,19,Trip Completed,13-07-2016 21:06,Night,13-07-2016 21:46,21,Wednesday
4260,Airport,19,Trip Completed,14-07-2016 06:11,Morning,14-07-2016 06:59,6,Thursday
4395,City,19,Trip Completed,14-07-2016 08:00,Day,14-07-2016 08:54,8,Thursday
5919,City,19,Trip Completed,15-07-2016 10:03,Day,15-07-2016 10:59,10,Friday
6002,Airport,19,Trip Completed,15-07-2016 12:04,Evening,15-07-2016 12:53,12,Friday
468,City,20,Trip Completed,11-07-2016 09:20,Day,11-07-2016 10:05,9,Monday
693,Airport,20,Trip Completed,11-07-2016 13:51,Evening,11-07-2016 15:01,13,Monday
1178,City,20,Trip Completed,11-07-2016 21:05,Night,11-07-2016 22:06,21,Monday
2103,City,20,Trip Completed,12-07-2016 16:08,Evening,12-07-2016 17:18,16,Tuesday
2292,Airport,20,Trip Completed,12-07-2016 18:46,Night,12-07-2016 19:23,18,Tuesday
3339,City,20,Trip Completed,13-07-2016 12:40,Evening,13-07-2016 13:30,12,Wednesday
3694,City,20,Trip Completed,13-07-2016 19:33,Night,13-07-2016 20:35,19,Wednesday
4469,City,20,Trip Completed,14-07-2016 08:45,Day,14-07-2016 09:48,8,Thursday
6432,City,20,Trip Completed,15-07-2016 19:50,Night,15-07-2016 20:30,19,Friday
1895,City,21,Trip Completed,12-07-2016 10:20,Day,12-07-2016 10:52,10,Tuesday
1981,Airport,21,Trip Completed,12-07-2016 12:23,Evening,12-07-2016 12:56,12,Tuesday
3744,Airport,21,Trip Completed,13-07-2016 20:28,Night,13-07-2016 21:22,20,Wednesday
4433,Airport,21,Trip Completed,14-07-2016 08:26,Day,14-07-2016 09:12,8,Thursday
6039,Airport,21,Trip Completed,15-07-2016 13:11,Evening,15-07-2016 13:38,13,Friday
6543,City,21,Trip Completed,15-07-2016 20:54,Night,15-07-2016 22:12,20,Friday
110,City,22,Trip Completed,11-07-2016 05:05,Morning,11-07-2016 06:06,5,Monday
362,City,22,Trip Completed,11-07-2016 08:01,Day,11-07-2016 09:18,8,Monday
666,Airport,22,Trip Completed,11-07-2016 13:02,Evening,11-07-2016 13:45,13,Monday
926,City,22,Trip Completed,11-07-2016 18:28,Night,11-07-2016 19:34,18,Monday
1180,Airport,22,Trip Completed,11-07-2016 21:01,Night,11-07-2016 22:14,21,Monday
1900,City,22,Trip Completed,12-07-2016 10:32,Day,12-07-2016 11:42,10,Tuesday
2506,City,22,Trip Completed,12-07-2016 21:01,Night,12-07-2016 21:38,21,Tuesday
3064,City,22,Trip Completed,13-07-2016 08:02,Day,13-07-2016 08:58,8,Wednesday
3327,Airport,22,Trip Completed,13-07-2016 12:24,Evening,13-07-2016 13:23,12,Wednesday
3601,City,22,Trip Completed,13-07-2016 18:39,Night,13-07-2016 19:29,18,Wednesday
4768,Airport,22,Trip Completed,14-07-2016 15:39,Evening,14-07-2016 16:49,15,Thursday
5142,City,22,Trip Completed,14-07-2016 20:17,Night,14-07-2016 20:48,20,Thursday
5366,Airport,22,Trip Completed,14-07-2016 23:27,Night,15-07-2016 00:19,23,Thursday
5575,City,22,Trip Completed,15-07-2016 05:53,Morning,15-07-2016 06:50,5,Friday
5902,City,22,Trip Completed,15-07-2016 09:52,Day,15-07-2016 10:37,9,Friday
6694,Airport,22,Trip Completed,15-07-2016 22:45,Night,15-07-2016 23:17,22,Friday
523,Airport,23,Trip Completed,11-07-2016 09:48,Day,11-07-2016 10:37,9,Monday
747,City,23,Trip Completed,11-07-2016 15:53,Evening,11-07-2016 16:43,15,Monday
1371,Airport,23,Trip Completed,12-07-2016 00:22,Early Morning,12-07-2016 01:33,0,Tuesday
1553,City,23,Trip Completed,12-07-2016 06:09,Morning,12-07-2016 07:09,6,Tuesday
1692,Airport,23,Trip Completed,12-07-2016 07:52,Morning,12-07-2016 09:01,7,Tuesday
2114,City,23,Trip Completed,12-07-2016 16:36,Evening,12-07-2016 17:21,16,Tuesday
2742,City,23,Trip Completed,13-07-2016 03:07,Early Morning,13-07-2016 03:51,3,Wednesday
4273,City,23,Trip Completed,14-07-2016 06:17,Morning,14-07-2016 07:02,6,Thursday
4668,City,23,Trip Completed,14-07-2016 12:25,Evening,14-07-2016 13:34,12,Thursday
5425,City,23,Trip Completed,15-07-2016 02:23,Early Morning,15-07-2016 03:08,2,Friday
5488,City,23,Trip Completed,15-07-2016 04:53,Morning,15-07-2016 06:00,4,Friday
5781,City,23,Trip Completed,15-07-2016 08:35,Day,15-07-2016 09:42,8,Friday
5966,Airport,23,Trip Completed,15-07-2016 10:54,Day,15-07-2016 11:58,10,Friday
6122,City,23,Trip Completed,15-07-2016 15:26,Evening,15-07-2016 16:29,15,Friday
357,Airport,24,Trip Completed,11-07-2016 08:00,Day,11-07-2016 09:08,8,Monday
1068,City,24,Trip Completed,11-07-2016 19:52,Night,11-07-2016 20:48,19,Monday
2689,Airport,24,Trip Completed,13-07-2016 00:34,Early Morning,13-07-2016 01:49,0,Wednesday
2791,City,24,Trip Completed,13-07-2016 04:56,Morning,13-07-2016 05:33,4,Wednesday
3321,City,24,Trip Completed,13-07-2016 12:23,Evening,13-07-2016 13:25,12,Wednesday
3423,Airport,24,Trip Completed,13-07-2016 15:52,Evening,13-07-2016 16:50,15,Wednesday
3761,Airport,24,Trip Completed,13-07-2016 20:35,Night,13-07-2016 21:39,20,Wednesday
4140,City,24,Trip Completed,14-07-2016 04:48,Morning,14-07-2016 06:05,4,Thursday
4656,City,24,Trip Completed,14-07-2016 12:06,Evening,14-07-2016 12:49,12,Thursday
4931,Airport,24,Trip Completed,14-07-2016 18:21,Night,14-07-2016 18:54,18,Thursday
5268,City,24,Trip Completed,14-07-2016 21:29,Night,14-07-2016 22:30,21,Thursday
5811,City,24,Trip Completed,15-07-2016 08:46,Day,15-07-2016 09:26,8,Friday
6139,Airport,24,Trip Completed,15-07-2016 15:45,Evening,15-07-2016 16:40,15,Friday
6333,Airport,24,Trip Completed,15-07-2016 18:41,Night,15-07-2016 19:53,18,Friday
773,City,25,Trip Completed,11-07-2016 16:23,Evening,11-07-2016 17:21,16,Monday
1123,City,25,Trip Completed,11-07-2016 20:20,Night,11-07-2016 21:18,20,Monday
2667,Airport,25,Trip Completed,12-07-2016 23:35,Night,13-07-2016 00:40,23,Tuesday
2833,City,25,Trip Completed,13-07-2016 05:27,Morning,13-07-2016 06:19,5,Wednesday
3396,City,25,Trip Completed,13-07-2016 14:59,Evening,13-07-2016 15:57,14,Wednesday
3590,City,25,Trip Completed,13-07-2016 18:31,Night,13-07-2016 19:31,18,Wednesday
3762,City,25,Trip Completed,13-07-2016 20:38,Night,13-07-2016 21:21,20,Wednesday
4566,City,25,Trip Completed,14-07-2016 09:48,Day,14-07-2016 10:22,9,Thursday
4862,City,25,Trip Completed,14-07-2016 17:37,Night,14-07-2016 18:41,17,Thursday
5564,Airport,25,Trip Completed,15-07-2016 05:41,Morning,15-07-2016 06:53,5,Friday
6187,City,25,Trip Completed,15-07-2016 17:11,Night,15-07-2016 18:08,17,Friday
6642,City,25,Trip Completed,15-07-2016 22:07,Night,15-07-2016 22:54,22,Friday
322,City,26,Trip Completed,11-07-2016 07:31,Morning,11-07-2016 08:10,7,Monday
793,City,26,Trip Completed,11-07-2016 17:04,Night,11-07-2016 18:06,17,Monday
898,Airport,26,Trip Completed,11-07-2016 18:14,Night,11-07-2016 19:09,18,Monday
1258,City,26,Trip Completed,11-07-2016 21:51,Night,11-07-2016 23:00,21,Monday
2832,City,26,Trip Completed,13-07-2016 05:20,Morning,13-07-2016 06:14,5,Wednesday
3139,City,26,Trip Completed,13-07-2016 08:54,Day,13-07-2016 09:22,8,Wednesday
3438,City,26,Trip Completed,13-07-2016 16:12,Evening,13-07-2016 17:13,16,Wednesday
3966,Airport,26,Trip Completed,13-07-2016 22:50,Night,13-07-2016 23:27,22,Wednesday
6401,Airport,26,Trip Completed,15-07-2016 19:33,Night,15-07-2016 20:16,19,Friday
204,City,27,Trip Completed,11-07-2016 06:04,Morning,11-07-2016 06:44,6,Monday
632,Airport,27,Trip Completed,11-07-2016 12:20,Evening,11-07-2016 13:10,12,Monday
763,City,27,Trip Completed,11-07-2016 16:19,Evening,11-07-2016 17:25,16,Monday
1786,Airport,27,Trip Completed,12-07-2016 09:03,Day,12-07-2016 09:58,9,Tuesday
1968,City,27,Trip Completed,12-07-2016 12:10,Evening,12-07-2016 12:49,12,Tuesday
2088,Airport,27,Trip Completed,12-07-2016 15:51,Evening,12-07-2016 17:02,15,Tuesday
2473,Airport,27,Trip Completed,12-07-2016 20:43,Night,12-07-2016 21:20,20,Tuesday
2869,Airport,27,Trip Completed,13-07-2016 05:50,Morning,13-07-2016 06:27,5,Wednesday
3742,Airport,27,Trip Completed,13-07-2016 20:24,Night,13-07-2016 20:48,20,Wednesday
4440,Airport,27,Trip Completed,14-07-2016 08:26,Day,14-07-2016 09:00,8,Thursday
5234,City,27,Trip Completed,14-07-2016 21:09,Night,14-07-2016 21:52,21,Thursday
6354,Airport,27,Trip Completed,15-07-2016 18:59,Night,15-07-2016 19:35,18,Friday
6638,City,27,Trip Completed,15-07-2016 21:59,Night,15-07-2016 23:13,21,Friday
84,City,28,Trip Completed,11-07-2016 04:50,Morning,11-07-2016 05:26,4,Monday
1199,City,28,Trip Completed,11-07-2016 21:17,Night,11-07-2016 21:53,21,Monday
1676,Airport,28,Trip Completed,12-07-2016 07:44,Morning,12-07-2016 08:40,7,Tuesday
2774,City,28,Trip Completed,13-07-2016 04:33,Morning,13-07-2016 05:13,4,Wednesday
3220,Airport,28,Trip Completed,13-07-2016 09:51,Day,13-07-2016 10:24,9,Wednesday
3718,Airport,28,Trip Completed,13-07-2016 19:56,Night,13-07-2016 20:47,19,Wednesday
4904,Airport,28,Trip Completed,14-07-2016 18:02,Night,14-07-2016 18:58,18,Thursday
6527,Airport,28,Trip Completed,15-07-2016 20:54,Night,15-07-2016 21:53,20,Friday
6710,City,28,Trip Completed,15-07-2016 23:02,Night,16-07-2016 00:12,23,Friday
1584,Airport,29,Trip Completed,12-07-2016 06:26,Morning,12-07-2016 07:18,6,Tuesday
1966,Airport,29,Trip Completed,12-07-2016 12:05,Evening,12-07-2016 13:12,12,Tuesday
2827,City,29,Trip Completed,13-07-2016 05:18,Morning,13-07-2016 06:18,5,Wednesday
2945,Airport,29,Trip Completed,13-07-2016 06:34,Morning,13-07-2016 07:28,6,Wednesday
3365,City,29,Trip Completed,13-07-2016 13:47,Evening,13-07-2016 14:51,13,Wednesday
3548,Airport,29,Trip Completed,13-07-2016 18:07,Night,13-07-2016 19:12,18,Wednesday
3753,City,29,Trip Completed,13-07-2016 20:30,Night,13-07-2016 21:42,20,Wednesday
